Index,Series,Name,Code,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19
0,Current health expenditure (% of GDP),Afghanistan,AFG,8.56967163,8.56190681,7.89717579,8.80594063,9.52887058,10.10534763,11.81856155,12.62081718,14.12674332,13.24220181
1,Current health expenditure (% of GDP),Algeria,DZA,5.11717176,5.26748085,6.00050974,6.03576279,6.54721403,6.9784894,6.60749578,6.27938414,6.16302586,6.24337101
2,Current health expenditure (% of GDP),Angola,AGO,2.69510007,2.64560795,2.39574957,2.73282766,2.43412852,2.60579491,2.71314907,2.79150295,2.54010224,2.53335953
3,Current health expenditure (% of GDP),Antigua and Barbuda,ATG,5.37907028,5.44257212,5.47921419,5.50909281,5.87269974,5.27965546,5.12190151,4.87493944,4.85093021,4.44295979
4,Current health expenditure (% of GDP),Argentina,ARG,9.44546986,9.41821575,9.82728195,9.78097343,9.67129135,10.22933865,9.00189686,10.44225502,9.66646481,9.5100708
5,Current health expenditure (% of GDP),Armenia,ARM,9.23539066,9.37587833,9.134552,10.32344532,10.17827034,10.11763382,9.95196629,10.36270523,10.00543404,11.33526421
6,Current health expenditure (% of GDP),Australia,AUS,8.4308424,8.54153824,8.67564774,8.76116371,9.03597069,9.32758904,9.24815178,9.26682281,9.1550045,9.91078568
7,Current health expenditure (% of GDP),Austria,AUT,10.22101879,10.02613258,10.19915581,10.28574944,10.36809254,10.36746693,10.3522625,10.38460541,10.31750679,10.43403149
8,Current health expenditure (% of GDP),Azerbaijan,AZE,2.48996663,2.44641805,2.96481562,3.03672314,3.37713742,4.10663605,4.03655434,3.73651457,3.55621028,4.03829002
9,Current health expenditure (% of GDP),"Bahamas, The",BHS,5.25673914,5.32418823,5.31907082,5.5913291,5.57097006,5.2271986,5.62038803,6.6088872,5.92999935,5.74977493
10,Current health expenditure (% of GDP),Bahrain,BHR,3.84291482,3.57691312,4.10642147,4.30853891,4.40681839,4.9869976,4.86063528,4.74279165,4.14378214,4.01147509
11,Current health expenditure (% of GDP),Bangladesh,BGD,2.68101048,2.76118398,2.74823475,2.65446854,2.65588379,2.63947296,2.47291207,2.43180156,2.50803041,2.48357606
12,Current health expenditure (% of GDP),Barbados,BRB,6.77398682,6.89933872,7.77819967,7.49560881,6.99789667,6.7748456,6.68155098,6.62216997,6.56259155,6.29990387
13,Current health expenditure (% of GDP),Belarus,BLR,5.65693998,4.87438536,5.245327,5.69559479,5.38793373,6.06533337,5.91054153,5.75974846,5.52699471,5.86133957
14,Current health expenditure (% of GDP),Belgium,BEL,10.23324585,10.39208412,10.50650597,10.56133938,10.59411144,10.43065357,10.77319717,10.78312588,10.76469994,10.65604973
15,Current health expenditure (% of GDP),Belize,BLZ,5.68149519,5.72256994,5.46800852,5.65393209,6.19277191,5.9350915,6.14959431,5.79241371,5.81922674,5.96689224
16,Current health expenditure (% of GDP),Benin,BEN,2.99710441,3.09628272,3.41449857,2.85861206,2.66743827,2.90741682,2.73950028,2.61910868,2.50416446,2.38842916
17,Current health expenditure (% of GDP),Bhutan,BTN,3.55879474,3.34921789,3.61913657,3.70787191,3.55791116,3.75701189,3.57613945,3.3407371,3.2427721,3.60761595
18,Current health expenditure (% of GDP),Bolivia,BOL,5.20230532,5.17306805,5.2539444,5.57465124,5.89613628,6.55064964,6.83333063,6.4901948,6.64209032,6.9233799
