Code,tsn1,tsn2,ClusterID
AFG,-1.7251076,-5.939594,0
AGO,10.408609,-8.246593,1
ARE,-2.6461964,3.0292125,0
ARG,-4.257329,5.7971425,2
ARM,3.2460642,1.4497013,3
ATG,-6.7592,-0.6644581,0
AUS,-9.15431,7.094757,2
AUT,-6.391157,7.432011,2
AZE,4.9471164,-0.74987876,3
BDI,9.974431,-10.75856,1
BEL,-5.257474,7.3850565,2
BEN,8.469505,-9.654088,1
BFA,8.7230625,-10.271771,1
BGD,4.13212,-1.7504946,3
BGR,2.3908324,3.474577,3
BHR,-3.0096107,2.4540439,0
BHS,-7.1114635,-0.07364383,0
BIH,2.933482,2.672296,3
BLR,4.142932,3.6695428,3
BLZ,-7.9173865,1.0481625,0
BOL,-6.511561,1.0608195,0
BRA,-8.737549,4.808125,2
BRB,-8.112071,-0.9284217,0
BRN,-0.45382679,5.618101,3
BTN,3.494396,-1.5909975,3
BWA,8.102415,-5.186314,1
CAF,11.547307,-10.103913,1
CAN,-4.5246725,7.1636915,2
CHE,-7.5305943,7.884341,2
CHL,-5.2788243,6.1498127,2
CHN,0.94958794,-1.6818445,3
CIV,7.335026,-8.6174135,1
CMR,9.445355,-8.241226,1
COD,10.749974,-10.088685,1
COG,9.617271,-6.908751,1
COL,-1.8726984,0.05138432,0
COM,6.7180204,-7.4896984,1
CPV,8.212895,-4.414512,1
CRI,-2.6709037,0.19306186,0
CUB,-8.51157,-0.9769259,0
CYP,-7.227884,7.7537785,2
CZE,2.507553,3.3083417,3
DEU,-6.619975,6.5802207,2
DJI,-5.3906765,9.989157,2
DNK,-5.2572913,6.659549,2
DOM,-7.7837596,0.5452341,0
DZA,-2.4877446,-3.3780785,0
ECU,-6.3047442,0.70623773,0
EGY,-2.1639175,-4.252847,0
ESP,-8.351195,8.247817,2
EST,3.7426453,4.0579715,3
ETH,8.20343,-10.002673,1
FIN,-4.990047,7.98794,2
FJI,3.1137717,-3.3406181,3
FRA,-7.142641,6.8015523,2
FSM,3.3031623,-4.6212544,1
GAB,7.8559585,-5.9731164,1
GBR,-5.445344,8.887364,2
GEO,3.795836,2.0666645,3
GHA,8.253554,-7.2027583,1
GIN,7.639696,-9.704825,1
GMB,9.845746,-8.7690935,1
GNB,7.7978415,-9.120994,1
GNQ,10.07027,-6.2405252,1
GRC,-7.185081,9.027326,2
GRD,-6.9539185,-0.419241,0
GTM,-4.5044785,-0.56311226,0
GUY,-8.689868,0.5129342,0
HND,-4.007187,-0.74622285,0
HRV,2.9941819,4.0429544,3
HTI,-8.420571,1.4136821,0
HUN,2.9423842,3.1484692,3
IDN,2.650223,-2.5769172,3
IND,0.7318133,-1.9146945,3
IRL,-7.5244465,8.279701,2
IRN,-9.10583,4.390671,2
IRQ,-2.7155173,-4.4655967,0
ISL,-4.5976877,6.6689725,2
ISR,-3.9559894,7.511402,2
ITA,-6.213888,7.825022,2
JAM,-6.9993773,-0.24433883,0
JOR,-3.070954,-4.369899,0
JPN,0.85680336,5.549964,3
KAZ,5.5412498,-1.817824,3
KEN,8.39487,-8.076584,1
KGZ,5.4504247,-3.784829,1
KHM,2.452035,-4.433932,3
KIR,2.5285532,-5.664873,1
KOR,0.16333653,5.40353,3
KWT,-3.483029,2.8813517,0
LAO,2.8241591,-4.3837266,3
LBN,-2.363782,-2.3694503,0
LBR,9.234703,-9.379528,1
LCA,-7.5032563,-0.72341484,0
LKA,2.9873884,-0.39792246,3
LSO,9.002335,-5.392166,1
LTU,4.0194006,4.708234,3
LUX,-5.7684803,7.3395658,2
LVA,3.8662455,4.3577547,3
MAR,-3.228636,-3.5666797,0
MDA,-2.822355,8.905972,2
MDG,9.173984,-8.857406,1
MDV,4.132099,0.045002818,3
MEX,-2.6959496,-0.18322557,0
MKD,2.4154036,2.0302074,3
MLI,7.543267,-11.117206,1
MLT,-5.341402,6.667393,2
MMR,2.8456335,-3.2710946,3
MNG,5.813387,-2.0049021,3
MOZ,9.474454,-10.204331,1
MRT,6.10088,-8.542133,1
MWI,8.968293,-10.573212,1
MYS,3.0689764,-0.21140671,3
NAM,7.1321745,-7.1484575,1
NER,7.950568,-11.597245,1
NGA,6.7841444,-10.553397,1
NIC,-3.9959135,-0.53719926,0
NLD,-6.9324265,8.242526,2
NOR,-7.005292,7.0785813,2
NPL,-0.82215494,-5.000618,0
NZL,-8.457177,6.524289,2
OMN,-2.9894824,1.9752697,0
PAK,0.30807647,-5.593416,0
PAN,-2.9153776,-0.20385513,0
PER,-5.9355116,0.6650127,0
PHL,2.5787396,-4.0121317,3
PNG,2.4365208,-5.422204,1
POL,1.8149879,2.6773,3
PRT,-8.14642,9.071452,2
PRY,-6.6758304,1.4642216,0
QAT,-3.1091244,3.2982936,0
ROU,2.263053,2.859219,3
RUS,3.2050986,2.2103238,3
RWA,9.547122,-7.9337654,1
SAU,-3.6203456,2.5516255,0
SDN,-1.7410074,-5.626112,0
SEN,6.5933886,-8.921785,1
SGP,-0.17021622,5.5372376,3
SLB,2.8028243,-6.3179693,1
